address_id,house_no,street,purok,barangay_id
1,H612,"Kalayaan Rd.","Purok 5",39
2,H235,"Kalayaan Rd.","Purok 5",38
3,H158,"Aguinaldo St.","Purok 10",31
4,H763,"Del Pilar St.","Purok 3",19
5,H743,"Quezon Blvd.","Purok 4",6
6,H303,"Lapu-Lapu Ave.","Purok 3",18
7,H854,"Kalayaan Rd.","Purok 8",19
8,H818,"Del Pilar St.","Purok 3",5
9,H387,"Kalayaan Rd.","Purok 10",28
10,H533,"Del Pilar St.","Purok 4",39
11,H912,"Quezon Blvd.","Purok 10",13
12,H125,"Bonifacio Ave.","Purok 6",27
13,H381,"Quezon Blvd.","Purok 7",6
14,H970,"Bonifacio Ave.","Purok 10",39
15,H150,"Rizal St.","Purok 7",31
16,H736,"Lapu-Lapu Ave.","Purok 3",5
17,H738,"Mabini St.","Purok 2",38
18,H746,"Kalayaan Rd.","Purok 1",11
19,H285,"Kalayaan Rd.","Purok 6",18
20,H438,"Kalayaan Rd.","Purok 7",5
21,H840,"Quezon Blvd.","Purok 5",1
22,H324,"Kalayaan Rd.","Purok 2",2
23,H865,"Lapu-Lapu Ave.","Purok 6",42
24,H478,"Lapu-Lapu Ave.","Purok 9",19
25,H592,"Rizal St.","Purok 7",3
26,H636,"Lapu-Lapu Ave.","Purok 6",7
27,H668,"Bonifacio Ave.","Purok 6",30
28,H574,"Del Pilar St.","Purok 2",38
29,H220,"Magallanes St.","Purok 2",25
30,H020,"Rizal St.","Purok 3",20
31,H157,"Mabini St.","Purok 10",15
32,H621,"Narra St.","Purok 10",15
33,H226,"Aguinaldo St.","Purok 7",12
34,H355,"Mabini St.","Purok 3",38
35,H967,"Lapu-Lapu Ave.","Purok 2",18
36,H431,"Del Pilar St.","Purok 7",9
37,H818,"Magallanes St.","Purok 4",41
38,H807,"Quezon Blvd.","Purok 4",6
39,H255,"Del Pilar St.","Purok 8",9
40,H088,"Del Pilar St.","Purok 3",31
41,H321,"Mabini St.","Purok 2",2
42,H784,"Quezon Blvd.","Purok 5",5
43,H057,"Narra St.","Purok 8",5
44,H780,"Narra St.","Purok 6",3
45,H226,"Magallanes St.","Purok 2",18
46,H146,"Mabini St.","Purok 6",6
47,H508,"Rizal St.","Purok 5",4
48,H718,"Magallanes St.","Purok 7",31
49,H546,"Magallanes St.","Purok 1",10
50,H065,"Kalayaan Rd.","Purok 1",23
51,H912,"Bonifacio Ave.","Purok 9",23
52,H180,"Kalayaan Rd.","Purok 7",29
53,H447,"Mabini St.","Purok 9",9
54,H203,"Del Pilar St.","Purok 3",5
55,H644,"Bonifacio Ave.","Purok 6",12
56,H842,"Aguinaldo St.","Purok 7",3
57,H354,"Bonifacio Ave.","Purok 8",9
58,H379,"Bonifacio Ave.","Purok 9",7
59,H240,"Rizal St.","Purok 4",44
60,H690,"Bonifacio Ave.","Purok 7",37
61,H273,"Narra St.","Purok 1",32
62,H632,"Rizal St.","Purok 5",19
